time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.0,STROKE,-0.33,-0.55,0.71,-0.07,-0.2,-0.22,0.73,-2.0343385291622695,-0.16202756754178438,-1.9157629481526186,0.9848640866925376,1.7943979680700686,2.710072214820041,0.3297288098682145,1.0800249583553523e-12,1.865174681370263e-12,8.981260180007666e-12,-1.7621459846850485e-12,2.3590018827235326e-12,-2.3305801732931286e-12,-5.329070518200751e-13
0.005,STROKE,-0.3401716926458113,-0.5508101378377089,0.700421185259237,-0.06507567956653734,-0.19102801015964962,-0.20644963892589982,0.731648644049341,-2.034338529162266,-0.16202756754177816,-1.9157629481525884,0.9848640866925314,1.7943979680700772,2.7100722148200336,0.32972880986821274,3.552713678800501e-13,6.217248937900877e-13,3.0198066269804258e-12,-6.772360450213455e-13,1.1324274851176597e-12,-7.549516567451064e-13,-1.7763568394002505e-13
0.01,STROKE,-0.3503433852916227,-0.5516202756754178,0.6908423705184741,-0.06015135913307469,-0.18205602031929924,-0.19289927785179967,0.7332972880986821,-2.034338529162266,-0.16202756754177816,-1.9157629481525884,0.9848640866925308,1.79439796807008,2.7100722148200336,0.32972880986821274,5.329070518200751e-13,1.1102230246251565e-12,0.0,0.0,2.6645352591003757e-13,2.6645352591003757e-13,0.0
0.015,STROKE,-0.360515077937434,-0.5524304135131267,0.6812635557777111,-0.055227038699612034,-0.17308403047894882,-0.17934891677769949,0.7349459321480232,-2.0343385291622607,-0.16202756754176706,-1.9157629481525884,0.9848640866925314,1.79439796807008,2.7100722148200362,0.32972880986821274,5.329070518200751e-13,1.1102230246251565e-12,0.0,6.661338147750939e-14,-2.6645352591003757e-13,0.0,0.0
0.02,STROKE,-0.3706867705832453,-0.5532405513508355,0.6716847410369482,-0.05030271826614938,-0.16411204063859844,-0.1657985557035993,0.7365945761973642,-2.0343385291622607,-0.16202756754176706,-1.9157629481525884,0.9848640866925314,1.7943979680700772,2.7100722148200336,0.32972880986821274,0.0,-1.1102230246251565e-12,0.0,0.0,0.0,-5.773159728050814e-13,0.0
0.025,STROKE,-0.3808584632290566,-0.5540506891885444,0.6621059262961853,-0.04537839783268672,-0.15514005079824805,-0.15224819462949915,0.7382432202467053,-2.0343385291622607,-0.16202756754177816,-1.9157629481525884,0.9848640866925314,1.79439796807008,2.7100722148200305,0.32972880986821274,-5.329070518200751e-13,-1.1102230246251565e-12,0.0,0.0,0.0,0.0,0.0
0.03,STROKE,-0.3910301558748679,-0.5548608270262533,0.6525271115554223,-0.04045407739922406,-0.14616806095789764,-0.138697833555399,0.7398918642960464,-2.034338529162266,-0.16202756754177816,-1.9157629481525884,0.9848640866925314,1.7943979680700772,2.7100722148200336,0.32972880986821274,-5.329070518200751e-13,0.0,0.0,0.0,-2.6645352591003757e-13,5.773159728050814e-13,0.0
0.035,STROKE,-0.40120184852067925,-0.5556709648639622,0.6429482968146594,-0.035529756965761404,-0.13719607111754728,-0.12514747248129882,0.7415405083453874,-2.034338529162266,-0.16202756754177816,-1.9157629481525884,0.9848640866925314,1.7943979680700772,2.7100722148200362,0.32972880986821274,5.329070518200751e-13,0.0,0.0,0.0,4.218847493575595e-13,1.3322676295501878e-13,0.0
0.04,STROKE,-0.41137354116649055,-0.5564811027016711,0.6333694820738964,-0.030605436532298746,-0.12822408127719687,-0.11159711140719863,0.7431891523947285,-2.0343385291622607,-0.16202756754177816,-1.9157629481525884,0.9848640866925314,1.7943979680700815,2.710072214820035,0.32972880986821274,0.0,1.1102230246251565e-12,0.0,0.0,1.3322676295501878e-13,-2.6645352591003757e-13,0.0
0.045,STROKE,-0.42154523381230186,-0.55729124053938,0.6237906673331335,-0.02568111609883609,-0.11925209143684647,-0.09804675033309847,0.7448377964440696,-2.034338529162266,-0.16202756754176706,-1.9157629481525884,0.9848640866925314,1.7943979680700786,2.7100722148200336,0.32972880986821274,-5.329070518200751e-13,1.1102230246251565e-12,0.0,7.771561172376096e-14,-2.886579864025407e-13,0.0,-1.1102230246251565e-12
