Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
11,-0.026441019028425217,3.7240054607391357,107.51414489746094,-0.3401364564311369,-4.728111090004173,-88.17035655764262,1.1422338,-0.8807381,8.942927,-1.5507969,-8.206837,-8.283232,9.637402,-20.923605,74.940796,16.10464,3.5566075,8.42003,-6.8802514,-9.075683,26.141932,73.11123,-19.151682,5.3416166,-5.557936,7.372756,5.13923,-3.6655185,5.6309557,-8.209104,-5.2578397,8.202315,-2.5379448,-14.359557,5.6156983,-8.808194,5.3748245
12,-0.03399287909269333,3.7779226303100586,107.51847076416016,-0.33410132600011155,-4.709878148034745,-88.14466709234055,1.1547315,-0.89807624,8.986653,-1.605342,-8.244922,-9.238348,9.906821,-22.03049,75.47085,16.323664,3.6079538,7.9681273,-7.658296,-9.159224,27.264254,73.43028,-19.728008,5.4547,-5.24288,7.29931,5.138496,-3.7108908,5.6379385,-8.167573,-5.264284,8.143397,-2.5436845,-14.371834,5.6208425,-8.774785,5.368453
13,-0.039376553148031235,3.8391823768615723,107.52268981933594,-0.32619640468851857,-4.681240288295915,-88.12246813085491,1.1698617,-0.9204333,9.012587,-1.6469736,-8.286582,-10.264628,10.190271,-23.10262,75.98946,16.567053,3.689645,7.6045246,-8.501251,-9.258231,28.359486,73.75594,-20.218102,5.499556,-4.9838057,7.207953,5.134436,-3.7582781,5.644727,-8.118422,-5.2717533,8.064083,-2.5546985,-14.376429,5.628489,-8.734738,5.3622904
14,-0.04701723903417587,3.910027027130127,107.52893829345703,-0.3167987337167941,-4.646532398107694,-88.10237285634761,1.1862038,-0.94601506,9.028581,-1.6796029,-8.330641,-11.364823,10.484948,-24.165094,76.50179,16.859095,3.7981489,7.2927675,-9.406867,-9.371627,29.44949,74.0781,-20.674086,5.503333,-4.7562685,7.102601,5.1300273,-3.8079855,5.6509213,-8.061104,-5.282145,7.96961,-2.567158,-14.375618,5.6367044,-8.687435,5.353632
15,-0.04904210940003395,3.970731019973755,107.53368377685547,-0.30786082192384373,-4.602674123489598,-88.07961587720582,1.1982788,-0.972767,9.029361,-1.7075983,-8.366038,-12.535078,10.792822,-25.182642,77.0033,17.132359,3.909075,7.022079,-10.379595,-9.499978,30.493443,74.38707,-21.08532,5.491855,-4.55439,6.989357,5.1228747,-3.861851,5.659966,-8.008468,-5.2894034,7.8694935,-2.583002,-14.376532,5.6468844,-8.644882,5.349506
16,-0.056153226643800735,4.047650337219238,107.53981018066406,-0.29862262725967853,-4.546861816449674,-88.04985031831364,1.200338,-0.99934316,9.010847,-1.7348039,-8.384314,-13.770607,11.119862,-26.112873,77.48641,17.325907,3.9990964,6.78108,-11.424573,-9.646024,31.443563,74.672035,-21.449022,5.490458,-4.370976,6.8485017,5.1193604,-3.9301317,5.668034,-7.9423475,-5.3002405,7.745226,-2.5965028,-14.3771105,5.6559544,-8.590826,5.340505
17,-0.06779661774635315,4.128891944885254,107.54769897460938,-0.28826642100032457,-4.476388020800732,-88.00929527938216,1.1877337,-1.0266368,8.970477,-1.758531,-8.384898,-15.065733,11.471688,-26.92797,77.93973,17.41593,4.0701632,6.583471,-12.538595,-9.812596,32.263123,74.918495,-21.74755,5.506991,-4.196706,6.682467,5.118255,-4.015323,5.676694,-7.869864,-5.313651,7.6004353,-2.6088316,-14.382284,5.6659803,-8.533088,5.3286095
18,-0.0844566822052002,4.216568470001221,107.55593872070312,-0.2780466879003005,-4.393752789399063,-87.9611956398741,1.1649917,-1.0555565,8.913331,-1.778234,-8.372566,-16.42409,11.849606,-27.653667,78.36213,17.444283,4.134875,6.427267,-13.720602,-10.00055,32.978947,75.12878,-21.997274,5.5294423,-4.035632,6.4930444,5.1209393,-4.1139913,5.6868796,-7.790574,-5.330812,7.436152,-2.6184127,-14.389239,5.677337,-8.470968,5.3128114
19,-0.09173031151294708,4.319301605224609,107.56425476074219,-0.2693375043989333,-4.3043403419756165,-87.91133980662151,1.1383779,-1.0854906,8.845695,-1.7989385,-8.348705,-17.854841,12.252868,-28.330881,78.76295,17.443365,4.186492,6.2795224,-14.982586,-10.210221,33.646816,75.32302,-22.240595,5.552577,-3.9012842,6.285004,5.119554,-4.219701,5.6962748,-7.6998334,-5.3428483,7.2549486,-2.6328342,-14.392815,5.6870112,-8.396507,5.301033
20,-0.09732759743928909,4.414867401123047,107.57132720947266,-0.26260656548688066,-4.213378016337534,-87.86553164745932,1.1137401,-1.1145811,8.774731,-1.8254848,-8.314351,-19.36624,12.678593,-29.001436,79.15049,17.444183,4.217471,6.1071863,-16.334345,-10.439281,34.32669,75.516495,-22.515373,5.572269,-3.8070447,6.079804,5.119298,-4.3201017,5.7067676,-7.614058,-5.353376,7.0734773,-2.6460304,-14.391847,5.6992273,-8.325797,5.2906365
