Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
11,4.845708847045898,-0.5633917450904846,106.25053405761719,1.4568930554789907,-0.9982388532540898,-102.81257502305583,2.106935,-1.5618262,12.767825,1.0313483,-19.179419,0.050756227,13.546303,-26.99537,59.971565,13.6236,3.3826885,9.765514,-8.472245,-14.641639,44.911766,61.83844,-3.61593,4.2774253,-15.686835,6.983325,-2.0734162,22.629349,5.7054634,-13.724115,-3.1852539,3.478391,-10.581047,-0.7536794,7.9017797,-11.463216,9.84986
12,4.963683128356934,-0.7108518481254578,106.1886215209961,1.5991052992308465,-0.8355241023596994,-102.98500723650433,2.1312718,-1.7790403,12.59246,1.0418273,-19.061552,0.086595595,13.669122,-26.927507,60.111713,13.556164,3.3970447,9.725433,-8.426595,-14.545867,44.89456,61.83203,-3.5994408,4.310219,-15.703935,6.889794,-2.3826673,22.729189,5.6910853,-13.843618,-3.0676808,2.6930914,-10.895546,-0.28387564,9.009326,-12.03283,10.004929
13,5.070618152618408,-0.8557461500167847,106.11573791503906,1.7801678113258006,-0.6468703528447574,-103.17203299368013,2.156347,-2.045532,12.389728,1.0548337,-18.955986,0.12068017,13.805213,-26.86493,60.27247,13.451819,3.3999362,9.66917,-8.388599,-14.437663,44.87783,61.810516,-3.583146,4.3321137,-15.715962,6.7572803,-2.7313251,22.827425,5.693812,-13.971153,-2.9458225,1.766799,-11.248078,0.26463714,10.294424,-12.6838,10.16364
14,5.17013692855835,-0.9930093884468079,106.02711486816406,1.9941943241623399,-0.43611639384188694,-103.37132769207349,2.18182,-2.355215,12.165573,1.0707117,-18.861595,0.15396279,13.955841,-26.805468,60.445164,13.319839,3.399606,9.59422,-8.357335,-14.316252,44.861134,61.77707,-3.5653856,4.3458295,-15.726344,6.598286,-3.1183693,22.926132,5.6900077,-14.091683,-2.8183782,0.70249707,-11.6295395,0.89218974,11.751743,-13.411623,10.326253
15,5.262934684753418,-1.1251925230026245,105.9219741821289,2.2352639991056167,-0.2337152363671892,-103.5803268391122,2.2050912,-2.7040973,11.95885,1.0890988,-18.794184,0.17920478,14.123956,-26.746819,60.61442,13.155462,3.3942688,9.503133,-8.340663,-14.181627,44.84785,61.73128,-3.5560803,4.356286,-15.735092,6.222461,-3.4373653,22.989145,6.167413,-14.453598,-2.694061,-0.41945693,-12.029472,1.5681443,13.310215,-14.18346,10.492744
16,5.351909637451172,-1.2442355155944824,105.8292007446289,2.498057244488378,-0.07017001643213848,-103.79692569647693,2.2235448,-3.087817,11.809396,1.1091605,-18.767914,0.1901869,14.313065,-26.68725,60.76069,12.953218,3.382843,9.39774,-8.344204,-14.032865,44.84127,61.666935,-3.5638702,4.369937,-15.742685,6.020305,-3.8390856,23.096584,6.3592668,-14.674661,-2.5669231,-1.9030473,-12.400259,2.4357488,15.541379,-15.259149,10.63462
17,5.419079303741455,-1.348504662513733,105.728515625,2.804119876341704,0.05464841473374979,-104.01891974158548,2.2368948,-3.5293968,11.713583,1.1249065,-18.77824,0.19173306,14.52958,-26.615255,60.885868,12.68035,3.3563437,9.2761345,-8.365109,-13.868448,44.840847,61.585,-3.5986104,4.3882346,-15.747161,5.906425,-4.3003683,23.225918,6.451385,-14.84734,-2.4457562,-3.3755326,-12.788662,3.318532,17.813675,-16.304747,10.758055
18,5.482300758361816,-1.43649423122406,105.61758422851562,3.1502972673068035,0.15456421107009102,-104.24797875756506,2.2445917,-4.0254726,11.656367,1.1412122,-18.82023,0.19156837,14.77538,-26.532026,60.98588,12.34935,3.3214436,9.136117,-8.403727,-13.686781,44.847637,61.48717,-3.6521475,4.408282,-15.748636,5.817267,-4.80979,23.363968,6.535543,-15.015726,-2.3188279,-4.8970833,-13.197817,4.235099,20.190844,-17.282764,10.851524
19,5.551577091217041,-1.5246150493621826,105.50627899169922,3.4944932002447944,0.2204421239015647,-104.48786613119411,2.2438264,-4.5327835,11.656575,1.1733274,-18.91067,0.18373185,15.045075,-26.456362,61.04426,12.022589,3.298642,8.981217,-8.474496,-13.489931,44.868362,61.38113,-3.708661,4.426803,-15.750652,5.8014555,-5.3366137,23.52837,6.5533085,-15.160438,-2.1919117,-6.476479,-13.575942,5.188289,22.683702,-18.087,10.897104
20,5.623646259307861,-1.6038672924041748,105.40750885009766,3.794418106862516,0.2426439296451199,-104.74305205507899,2.234562,-5.0062466,11.732744,1.2328634,-19.063015,0.15635896,15.328214,-26.412123,61.053753,11.762207,3.3052368,8.816264,-8.587807,-13.282349,44.907703,61.268787,-3.750855,4.4422193,-15.7569895,5.87379,-5.8280573,23.731081,6.48822,-15.264611,-2.0780349,-8.115548,-13.867297,6.187999,25.303818,-18.574186,10.898664
21,5.711036682128906,-1.6682369709014893,105.31743621826172,4.040748210556806,0.2072420129702104,-105.01781956186304,2.2239532,-5.4352775,11.907164,1.31447,-19.294258,0.09108826,15.617069,-26.411354,61.02893,11.587671,3.3433912,8.628344,-8.752421,-13.068255,44.967075,61.143326,-3.7740762,4.458265,-15.76647,5.9775877,-6.2496295,23.968477,6.4860954,-15.40009,-1.973551,-9.811217,-14.056316,7.2784824,28.0821,-18.609142,10.914816
22,5.80313777923584,-1.725458025932312,105.23206329345703,4.255941063603468,0.12285022740216862,-105.30914506390859,2.214817,-5.8398614,12.163068,1.4090124,-19.591497,-0.012193298,15.909516,-26.44826,60.98596,11.4647045,3.3999875,8.421763,-8.95427,-12.849329,45.040237,60.998524,-3.7862272,4.477118,-15.778255,6.1313787,-6.6340833,24.236965,6.4971933,-15.546781,-1.879313,-11.555496,-14.163957,8.465141,30.99914,-18.170864,10.969819
23,5.895313262939453,-1.780075192451477,105.15030670166016,4.445931322261766,0.013288683177405891,-105.61009774179969,2.1993134,-6.222519,12.459047,1.5228579,-19.919018,-0.13717611,16.203598,-26.517973,60.920734,11.375735,3.4699354,8.22679,-9.170466,-12.627828,45.1195,60.84157,-3.7896159,4.4933543,-15.796515,6.3068132,-6.9845405,24.52177,6.525781,-15.704259,-1.7945745,-13.309052,-14.187731,9.664354,33.943527,-17.360231,10.99912
24,5.992724895477295,-1.8499845266342163,105.07180786132812,4.615704338972288,-0.09732444509327004,-105.91322078952783,2.1693316,-6.5847692,12.754291,1.6620492,-20.24094,-0.26839966,16.497532,-26.615942,60.828403,11.303138,3.547971,8.073821,-9.376535,-12.405706,45.196404,60.67626,-3.786554,4.501961,-15.825912,6.512125,-7.3264856,24.812506,6.510283,-15.849211,-1.7124166,-15.037219,-14.141965,10.762839,36.81115,-16.414751,10.905866
25,6.08707332611084,-1.929046630859375,105.00240325927734,4.766238285135779,-0.21587867972903554,-106.22788383598134,2.1297653,-6.9288163,13.060854,1.8282605,-20.571678,-0.40938592,16.791468,-26.747831,60.705276,11.237717,3.63928,7.976595,-9.578511,-12.182761,45.277172,60.49335,-3.7950225,4.5124817,-15.869131,6.809783,-7.683463,25.126444,6.327992,-15.918278,-1.6373116,-16.763351,-14.03064,11.736465,39.676834,-15.450853,10.679821
26,6.181557655334473,-2.013442039489746,104.93492889404297,4.895477553737475,-0.3510759096896218,-106.55369018535586,2.0826435,-7.2538857,13.392287,2.0174341,-20.921635,-0.56695276,17.08539,-26.914858,60.556046,11.190479,3.744028,7.917076,-9.784228,-11.959692,45.362957,60.293415,-3.8077714,4.5241613,-15.922948,7.1278696,-8.016748,25.455069,6.153003,-15.997494,-1.5701416,-18.484627,-13.854239,12.623421,42.556873,-14.522298,10.365381
27,6.2844624519348145,-2.100116729736328,104.87031555175781,5.003546235131959,-0.48218685238307024,-106.86892652424538,2.0160108,-7.5556855,13.711322,2.2254403,-21.248423,-0.73073614,17.376038,-27.10515,60.386684,11.175066,3.849655,7.877278,-9.967718,-11.739872,45.434414,60.086796,-3.7910237,4.5186415,-15.9843235,7.4198704,-8.320315,25.770054,6.0194435,-16.095533,-1.5027264,-20.146185,-13.627421,13.392844,45.295,-13.660869,9.93033
28,6.392763614654541,-2.2180755138397217,104.81331634521484,5.088447203267163,-0.5884085500147119,-107.15204831479582,1.9189684,-7.827801,13.981029,2.4474614,-21.51281,-0.8932214,17.658142,-27.306377,60.207474,11.207624,3.942306,7.839159,-10.101278,-11.528937,45.468582,59.880394,-3.7130926,4.47853,-16.04988,7.757272,-8.632942,26.058268,5.7497497,-16.1352,-1.435358,-21.697565,-13.355421,14.024842,47.74983,-13.022583,9.362181
