Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
11,-0.01493358612,0.0476474762,105.38626861572266,1.0366299139503543,-3.10269317601655,-89.29576283441355,1.3004673,-0.89647114,8.07039,-0.014276533,-18.761078,-0.67132246,9.874645,-22.448036,62.2497,7.952662,7.7555203,5.9031467,-4.374356,-7.865379,20.53892,65.51706,-21.6815,7.892084,-4.9164915,7.9708467,-3.095074,3.848259,5.5416512,-10.98276,0.6386023,11.6259985,0.72966427,-15.512382,4.4619966,-12.885509,-0.62490356
12,-0.02409124374,0.05271148682,105.38961791992188,1.0387969380511282,-3.1110507223156363,-89.2903392721446,1.2961512,-0.90634227,8.063359,-0.016935159,-18.715927,-0.6821898,9.872296,-22.455873,62.26538,7.9519157,7.7595735,5.888415,-4.381961,-7.8626523,20.538923,65.51897,-21.693886,7.89454,-4.922173,7.976822,-3.0913594,3.8447568,5.5411177,-10.979344,0.6327064,11.527851,0.70584524,-15.490064,4.6508107,-12.970067,-0.6323285
13,-0.03074836731,0.06288719177,105.3871841430664,1.0345021725537955,-3.1188052763277145,-89.28798682803834,1.2954905,-0.9083945,8.055223,-0.029289948,-18.673058,-0.6957388,9.869294,-22.47838,62.290646,7.958244,7.75625,5.8988347,-4.3930755,-7.85904,20.544222,65.53125,-21.710505,7.891782,-4.920724,7.9800878,-3.0816655,3.8431573,5.5410266,-10.975045,0.6282861,11.053003,0.6048212,-15.370659,5.2990694,-13.142965,-0.65674484
14,-0.02099704742,0.06216049194,105.38619995117188,1.040766617731255,-3.1232660168287447,-89.28746714354793,1.2933813,-0.9179601,8.045927,-0.04645399,-18.639887,-0.7007302,9.868543,-22.493895,62.305447,7.9809375,7.752662,5.920718,-4.4045234,-7.858355,20.551414,65.53982,-21.733974,7.8889236,-4.910852,7.9847546,-3.0961068,3.8403215,5.5409265,-10.977295,0.63815045,11.913535,0.7338008,-15.597141,4.292168,-12.98067,-0.5673789
15,-0.01507759094,0.06424331665,105.38394165039062,1.0356215477142245,-3.1285962672126266,-89.28875154070155,1.2927766,-0.9176682,8.0379715,-0.067093134,-18.610674,-0.7061403,9.868596,-22.51043,62.322357,8.001671,7.7478356,5.947605,-4.4162493,-7.8587503,20.560698,65.549416,-21.751713,7.885225,-4.902944,7.990642,-3.0940406,3.8415718,5.540538,-10.978855,0.6424127,11.29956,0.57030517,-15.374792,5.275047,-13.626846,-0.24380268
16,-0.02162694931,0.07393074036,105.37786865234375,1.0401334457042029,-3.1288425638858928,-89.29290154682917,1.2958522,-0.92708606,8.023328,-0.08880769,-18.581125,-0.7125509,9.869874,-22.525963,62.341892,8.012694,7.744091,5.967293,-4.4245086,-7.8602786,20.569782,65.555885,-21.756563,7.882602,-4.9017215,7.9858336,-3.0958073,3.8434138,5.5398726,-10.974079,0.6404758,11.127826,0.52053756,-15.321742,5.502172,-13.714144,-0.20456712
17,-0.02324914932,0.0822353363,105.37261962890625,1.0538764596781702,-3.1266388963323024,-89.3030888584314,1.3042055,-0.9472553,8.003564,-0.110362306,-18.553553,-0.717926,9.872026,-22.52957,62.362507,8.01849,7.7429214,5.97492,-4.428034,-7.861899,20.571762,65.55797,-21.746893,7.8800025,-4.9071245,7.97931,-3.11292,3.8502755,5.5380564,-10.968827,0.6432257,11.232393,0.52950567,-15.342297,5.311402,-13.6315775,-0.19589806
18,-0.02664518356,0.08753204346,105.37017822265625,1.0731250095952627,-3.1243543483009266,-89.31745442058214,1.3169174,-0.9731307,7.9810014,-0.13983056,-18.51877,-0.7255532,9.875232,-22.525805,62.39092,8.02242,7.7399306,5.9758024,-4.4283404,-7.863903,20.569288,65.559395,-21.726177,7.876109,-4.9169283,7.9731374,-3.1358204,3.8612795,5.5388393,-10.966374,0.645509,11.285189,0.51952213,-15.346561,5.2030416,-13.580292,-0.18694413
19,-0.02341985703,0.09372520447,105.37081909179688,1.0917245795840955,-3.1141491411756914,-89.33047112099781,1.3288126,-1.0011564,7.953603,-0.16735412,-18.490652,-0.7303333,9.881357,-22.512835,62.41347,8.02798,7.7368546,5.971996,-4.4261103,-7.8671556,20.56134,65.55481,-21.711113,7.873345,-4.9286895,7.956772,-3.1619458,3.8692656,5.5384607,-10.960822,0.65140396,11.2274,0.478436,-15.323271,5.2818174,-13.612711,-0.17440452
20,-0.01593589783,0.09087753296,105.37249755859375,1.1098537461020281,-3.090048284547737,-89.33611585458122,1.3353394,-1.028741,7.915897,-0.19119368,-18.469252,-0.73281825,9.885885,-22.502838,62.432037,8.027568,7.733325,5.9721203,-4.4259205,-7.869238,20.555801,65.551575,-21.708792,7.874359,-4.945698,7.928325,-3.1891625,3.868055,5.537443,-10.957006,0.65918666,11.2870655,0.47185227,-15.33378,5.106643,-13.523301,-0.1619253
