time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.095,WINDUP,-0.558515569655442,-0.592237959859126,0.6562455031103149,-0.007007343913128557,0.0046745626897085595,0.027290231820994135,0.6986280641751974,0.3217982783686901,-0.05987756074298245,0.1767596925711601,-0.19160172935571776,-0.15575517955152574,-0.35931635349801816,-0.039757493209957584,5.057756509657674,-0.7895152968584451,2.9326273671204106,-2.77237387170946,-2.813984801461919,-5.830189390124935,-0.6920664010434674
0.1,WINDUP,-0.5568432815632596,-0.5925472401359048,0.6571659855238644,-0.008000065763501974,0.003860600149932446,0.02542070104864899,0.6984206218539943,0.3471045558911534,-0.06374011490021259,0.19154286133312715,-0.2053385886579647,-0.17005219806222166,-0.38859724621201835,-0.04326072689149196,5.053007025362932,-0.7518171006959395,2.9765121515523685,-2.7132137550641726,-2.9029180267172965,-5.870846982958117,-0.708585729757294
0.105,WINDUP,-0.5550445240965305,-0.5928753610081281,0.6581609317236462,-0.009060729799708204,0.002974040709086343,0.02340425935887395,0.6981954569062825,0.37232834862231945,-0.06739573174994185,0.20652481408668377,-0.2187338669063595,-0.1847843598186987,-0.4180248233275993,-0.04684335050753052,5.025199176483808,-0.706903411070714,3.012227628147457,-2.6361839677153163,-2.98799887207018,-5.889142471326475,-0.723821615780107
0.11,WINDUP,-0.5531199980770364,-0.5932211974534042,0.6592312336647312,-0.010187404432565569,0.002012756551745459,0.021240452815372998,0.697952188348919,0.3973565476559915,-0.07080914901091973,0.22166513761460171,-0.23170042833511786,-0.19993218678292346,-0.4474886709252831,-0.05049894304929303,4.975232396617901,-0.6551226227158313,3.0399235744216213,-2.5422178641799382,-3.0691011858824475,-5.8856290866558805,-0.737760691519318
0.115,WINDUP,-0.5510709586199706,-0.5935834524982373,0.6603775830997922,-0.011377734083059383,0.0009747188412571083,0.01892937264962112,0.6976904674757896,0.42208067258849846,-0.07394695797710016,0.23692404983089999,-0.24415604554815887,-0.21547537167752318,-0.47688111419415813,-0.0542209574227237,4.904057203969359,-0.5968668120515108,3.0597041723290364,-2.4323416270515845,-3.146021504017482,-5.860851511214227,-0.7503667396546732
0.12,WINDUP,-0.5488991913511514,-0.5939606670331752,0.6616004741630402,-0.012628964888047158,-0.0001419971650297731,0.016471641673431417,0.6974099787746918,0.4463971196956851,-0.07677781713143483,0.2522621793378921,-0.2560238446056337,-0.23139240182309828,-0.5060971860374254,-0.058002610445839764,4.812672041338839,-0.532569628930446,3.071631292554944,-2.3076661189345287,-3.2184836104223375,-5.815350600802771,-0.761582514205994
0.125,WINDUP,-0.5466069874230137,-0.5943512306695516,0.6629002048931711,-0.01393797252911572,-0.0013392051769738744,0.013868400789246867,0.6971104413713312,0.47020739300188685,-0.07927265426640462,0.2676403627564494,-0.26723270673750416,-0.24766020778174655,-0.5350346202021858,-0.06183678256478364,4.702119618466005,-0.46270382605961835,3.075728291922486,-2.169377759453844,-3.2861438621165693,-5.749668424574628,-0.7713317869384451
0.13,WINDUP,-0.5441971174211325,-0.5947533935758392,0.6642768777906047,-0.0153012919554222,-0.002618599242847239,0.011121295471409559,0.696791610949044,0.4934183158803451,-0.08140485539203102,0.28301946225711694,-0.27771762220017215,-0.264253840444264,-0.5635938702831716,-0.06571592831522421,4.573482808554186,-0.3877784635930581,3.07198426808708,-2.0187285956095424,-3.3485972073318577,-5.664353511795506,-0.779521581139031
0.135,WINDUP,-0.5416728042642103,-0.595165279223472,0.6657303995157423,-0.01671514875111744,-0.003981743581416514,0.00823246208641515,0.6964532820881789,0.5159422210874287,-0.0831504389023352,0.2983602054373202,-0.2874199926935996,-0.2811461798550651,-0.5916781553201409,-0.06963199837617395,4.427880151204322,-0.3083358251176893,3.060358714278566,-1.8570257458627726,-3.4053838290984126,-5.559966175243813,-0.7860445577778652
0.14,WINDUP,-0.5390376952102582,-0.5955848979648626,0.6672604798449779,-0.018175491882358195,-0.00543006104139789,0.005204513918208149,0.6960952909652822,0.5376971173923883,-0.08448821364320791,0.3136230493999026,-0.2962878796587999,-0.2983076787352481,-0.6191935320356098,-0.07357637389300287,4.266461013147094,-0.2249480780724955,3.0407865148585067,-1.6856203978069473,-3.455996347596435,-5.43708377467822,-0.7907815207208735
