-1.102391362190246582e+00,5.252304077148437500e-01,8.138666749000549316e-01,2.792360074818134308e-02,4.608988389372825623e-02,-6.742320656776428223e-01,7.365508079528808594e-01,-3.203889429569244385e-01,2.812567353248596191e-01,1.800526827573776245e-01,1.991928815841674805e-01,-3.425233960151672363e-01,-8.748733252286911011e-02,-2.800267934799194336e-01,-2.228135913610458374e-01,-3.449799418449401855e-01,2.433759272098541260e-01,-1.797553151845932007e-01,5.373981222510337830e-02,-3.577867895364761353e-02,7.663924247026443481e-02,3.812853097915649414e-01,-4.978893399238586426e-01,2.384910881519317627e-01,-2.464260756969451904e-01,3.077872395515441895e-01,7.422821223735809326e-02,-5.416138768196105957e-01,5.781663060188293457e-01,-7.312721014022827148e-01,-4.422469437122344971e-01,3.456855714321136475e-01,3.316691815853118896e-01,1.284282505512237549e-01,7.834227290004491806e-05,-5.219740867614746094e-01
-1.102365970611572266e+00,5.253992080688476562e-01,8.135785460472106934e-01,3.074530325829982758e-02,4.877554625272750854e-02,-6.800706386566162109e-01,7.308759093284606934e-01,-3.287293910980224609e-01,2.902562320232391357e-01,1.953244507312774658e-01,2.113376557826995850e-01,-3.491966128349304199e-01,-8.955128490924835205e-02,-3.016148209571838379e-01,-2.177325487136840820e-01,-3.272632062435150146e-01,2.558849453926086426e-01,-1.833969801664352417e-01,5.049195513129234314e-02,-1.892966590821743011e-02,7.556477934122085571e-02,3.735797107219696045e-01,-4.971826374530792236e-01,2.398400604724884033e-01,-2.469333708286285400e-01,3.130706846714019775e-01,7.565616071224212646e-02,-5.531540513038635254e-01,5.806394815444946289e-01,-7.315120697021484375e-01,-4.424698054790496826e-01,3.453485667705535889e-01,3.334658443927764893e-01,1.287862658500671387e-01,-2.738137962296605110e-03,-5.217869281768798828e-01
-1.102290630340576172e+00,5.254854559898376465e-01,8.134791254997253418e-01,3.181745857000350952e-02,4.951594397425651550e-02,-6.813996434211730957e-01,7.295411825180053711e-01,-3.313405513763427734e-01,2.916528880596160889e-01,1.988619863986968994e-01,2.140288203954696655e-01,-3.506640195846557617e-01,-8.985371142625808716e-02,-3.076160848140716553e-01,-2.171333432197570801e-01,-3.230147957801818848e-01,2.589574158191680908e-01,-1.846892088651657104e-01,4.930086806416511536e-02,-1.515747141093015671e-02,7.508623600006103516e-02,3.710837066173553467e-01,-4.965709745883941650e-01,2.413256764411926270e-01,-2.478525638580322266e-01,3.128251135349273682e-01,7.387791574001312256e-02,-5.549957752227783203e-01,5.809778571128845215e-01,-7.315412759780883789e-01,-4.428576231002807617e-01,3.455724120140075684e-01,3.334665000438690186e-01,1.290366500616073608e-01,-2.844612812623381615e-03,-5.216028690338134766e-01
-1.102252244949340820e+00,5.256050825119018555e-01,8.134034872055053711e-01,3.209800645709037781e-02,4.974570497870445251e-02,-6.817111968994140625e-01,7.292221188545227051e-01,-3.324707150459289551e-01,2.920780479907989502e-01,1.998658478260040283e-01,2.150902003049850464e-01,-3.520001471042633057e-01,-8.966572582721710205e-02,-3.094750046730041504e-01,-2.170202285051345825e-01,-3.219336867332458496e-01,2.600948214530944824e-01,-1.849857419729232788e-01,4.905985668301582336e-02,-1.427716203033924103e-02,7.509475201368331909e-02,3.705450296401977539e-01,-4.953864812850952148e-01,2.428270876407623291e-01,-2.480338662862777710e-01,3.112858831882476807e-01,7.067078351974487305e-02,-5.566916465759277344e-01,5.783960819244384766e-01,-7.311910986900329590e-01,-4.430885016918182373e-01,3.453289866447448730e-01,3.328521549701690674e-01,1.289120614528656006e-01,-2.470681909471750259e-03,-5.212667584419250488e-01
-1.102192401885986328e+00,5.257006883621215820e-01,8.133249878883361816e-01,3.216857463121414185e-02,4.984195530414581299e-02,-6.817910671234130859e-01,7.291377782821655273e-01,-3.332518935203552246e-01,2.922141551971435547e-01,1.999141573905944824e-01,2.161338925361633301e-01,-3.525828123092651367e-01,-8.946174383163452148e-02,-3.102642893791198730e-01,-2.170670479536056519e-01,-3.213693499565124512e-01,2.607900202274322510e-01,-1.848620474338531494e-01,4.852258786559104919e-02,-1.400924101471900940e-02,7.523093372583389282e-02,3.703964650630950928e-01,-4.941437542438507080e-01,2.444035559892654419e-01,-2.484817057847976685e-01,3.097943663597106934e-01,6.769261509180068970e-02,-5.578535199165344238e-01,5.769398808479309082e-01,-7.308894991874694824e-01,-4.433691501617431641e-01,3.449932634830474854e-01,3.323757946491241455e-01,1.287902146577835083e-01,-2.049645874649286270e-03,-5.207849740982055664e-01
-1.102128148078918457e+00,5.258065462112426758e-01,8.132465481758117676e-01,3.221134096384048462e-02,4.988324269652366638e-02,-6.818181276321411133e-01,7.291077971458435059e-01,-3.339710533618927002e-01,2.922440469264984131e-01,1.998824328184127808e-01,2.171027064323425293e-01,-3.527759611606597900e-01,-8.912546932697296143e-02,-3.108354806900024414e-01,-2.172826826572418213e-01,-3.214286863803863525e-01,2.613414525985717773e-01,-1.848108619451522827e-01,4.856314882636070251e-02,-1.404127571731805801e-02,7.552718371152877808e-02,3.706659078598022461e-01,-4.929907619953155518e-01,2.464060634374618530e-01,-2.490925639867782593e-01,3.077595829963684082e-01,6.530573964118957520e-02,-5.582240819931030273e-01,5.768787860870361328e-01,-7.309907078742980957e-01,-4.436362683773040771e-01,3.450216054916381836e-01,3.322583138942718506e-01,1.284802258014678955e-01,-1.845776685513556004e-03,-5.205802321434020996e-01
-1.102077722549438477e+00,5.259270668029785156e-01,8.131704926490783691e-01,3.226930275559425354e-02,4.993389919400215149e-02,-6.818107962608337402e-01,7.291086316108703613e-01,-3.347349166870117188e-01,2.922303974628448486e-01,1.998229473829269409e-01,2.179714739322662354e-01,-3.535092473030090332e-01,-8.889514207839965820e-02,-3.114110827445983887e-01,-2.174552232027053833e-01,-3.214074373245239258e-01,2.618055939674377441e-01,-1.850538104772567749e-01,4.826538637280464172e-02,-1.388088054955005646e-02,7.573103159666061401e-02,3.706954419612884521e-01,-4.917347133159637451e-01,2.482704967260360718e-01,-2.492975443601608276e-01,3.059229254722595215e-01,6.304826587438583374e-02,-5.587123632431030273e-01,5.761495232582092285e-01,-7.306656241416931152e-01,-4.441989064216613770e-01,3.449332714080810547e-01,3.318163156509399414e-01,1.283660382032394409e-01,-1.574295805767178535e-03,-5.204966068267822266e-01
-1.102031111717224121e+00,5.260306596755981445e-01,8.130819797515869141e-01,3.225956484675407410e-02,4.989052563905715942e-02,-6.818656325340270996e-01,7.290607094764709473e-01,-3.353411257266998291e-01,2.922556698322296143e-01,1.997121870517730713e-01,2.192834466695785522e-01,-3.538311421871185303e-01,-8.907451480627059937e-02,-3.118740022182464600e-01,-2.176410704851150513e-01,-3.212138116359710693e-01,2.625865340232849121e-01,-1.859157234430313110e-01,4.854379966855049133e-02,-1.382190547883510590e-02,7.590747624635696411e-02,3.711195290088653564e-01,-4.906924664974212646e-01,2.505738139152526855e-01,-2.496536076068878174e-01,3.039574921131134033e-01,5.985106155276298523e-02,-5.594152212142944336e-01,5.750935673713684082e-01,-7.308391928672790527e-01,-4.446957707405090332e-01,3.453024029731750488e-01,3.316440284252166748e-01,1.282798796892166138e-01,-1.330407336354255676e-03,-5.206573009490966797e-01
-1.101961612701416016e+00,5.261443853378295898e-01,8.130036592483520508e-01,3.222965449094772339e-02,4.984879866242408752e-02,-6.818618178367614746e-01,7.290684580802917480e-01,-3.358661234378814697e-01,2.921783328056335449e-01,1.994418203830718994e-01,2.203737646341323853e-01,-3.545872867107391357e-01,-8.873362839221954346e-02,-3.123111724853515625e-01,-2.178968340158462524e-01,-3.209895491600036621e-01,2.633989751338958740e-01,-1.855613440275192261e-01,4.821374267339706421e-02,-1.384488306939601898e-02,7.615814357995986938e-02,3.714805543422698975e-01,-4.893029928207397461e-01,2.524329125881195068e-01,-2.492727935314178467e-01,3.024507164955139160e-01,5.709387734532356262e-02,-5.607560873031616211e-01,5.734534859657287598e-01,-7.305253744125366211e-01,-4.453217387199401855e-01,3.451629281044006348e-01,3.309995234012603760e-01,1.279041767120361328e-01,-9.536562720313668251e-04,-5.205456018447875977e-01
-1.101922035217285156e+00,5.262604951858520508e-01,8.129249215126037598e-01,3.219474107027053833e-02,4.987823590636253357e-02,-6.818895936012268066e-01,7.290420532226562500e-01,-3.364822268486022949e-01,2.923906445503234863e-01,1.995095163583755493e-01,2.213747203350067139e-01,-3.552202880382537842e-01,-8.862128853797912598e-02,-3.127922713756561279e-01,-2.179477363824844360e-01,-3.207906782627105713e-01,2.639941573143005371e-01,-1.861119121313095093e-01,4.825410619378089905e-02,-1.365583017468452454e-02,7.650000602006912231e-02,3.718165159225463867e-01,-4.883161783218383789e-01,2.548267841339111328e-01,-2.499991208314895630e-01,3.007046282291412354e-01,5.429594218730926514e-02,-5.615509748458862305e-01,5.729289650917053223e-01,-7.299262285232543945e-01,-4.460518360137939453e-01,3.447566628456115723e-01,3.300085365772247314e-01,1.272502392530441284e-01,-4.367397632449865341e-04,-5.202985405921936035e-01
