[WARN] [1787148780.970349505] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1787148780.971003842] [a3_receive_input_gateway]: ball tracking: lost
[WARN] [1787148781.034911669] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1787148781.963253846] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.2ms frames=300 ball=0 base_poses=281 invalid=0 station_ok=yes
[INFO] [1787148782.963557099] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=600 ball=0 base_poses=581 invalid=0 station_ok=yes
[INFO] [1787148783.963575220] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.9ms frames=900 ball=0 base_poses=881 invalid=0 station_ok=yes
[INFO] [1787148784.963232666] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=1200 ball=0 base_poses=1181 invalid=0 station_ok=yes
[INFO] [1787148785.963260721] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=1500 ball=0 base_poses=1481 invalid=0 station_ok=yes
[INFO] [1787148786.963353509] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=1800 ball=0 base_poses=1781 invalid=0 station_ok=yes
[INFO] [1787148787.963235262] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.3ms frames=2100 ball=0 base_poses=2081 invalid=0 station_ok=yes
[INFO] [1787148788.963237458] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=2400 ball=0 base_poses=2381 invalid=0 station_ok=yes
[INFO] [1787148789.963238171] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.3ms frames=2700 ball=0 base_poses=2681 invalid=0 station_ok=yes
[INFO] [1787148790.963196964] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=3000 ball=0 base_poses=2981 invalid=0 station_ok=yes
[INFO] [1787148791.963195915] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=3300 ball=0 base_poses=3281 invalid=0 station_ok=yes
[INFO] [1787148792.963228087] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=3600 ball=0 base_poses=3581 invalid=0 station_ok=yes
[INFO] [1787148793.963197329] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=3900 ball=0 base_poses=3881 invalid=0 station_ok=yes
[INFO] [1787148794.963203097] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=4200 ball=0 base_poses=4181 invalid=0 station_ok=yes
[INFO] [1787148795.963202616] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=4500 ball=0 base_poses=4481 invalid=0 station_ok=yes
[INFO] [1787148796.963331383] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.9ms frames=4800 ball=0 base_poses=4781 invalid=0 station_ok=yes
[INFO] [1787148797.963195046] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=5100 ball=0 base_poses=5081 invalid=0 station_ok=yes
[INFO] [1787148798.963193049] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.9ms frames=5400 ball=0 base_poses=5381 invalid=0 station_ok=yes
[INFO] [1787148799.963399947] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=5700 ball=0 base_poses=5681 invalid=0 station_ok=yes
[INFO] [1787148800.963229700] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.1ms frames=6000 ball=0 base_poses=5981 invalid=0 station_ok=yes
[INFO] [1787148801.963210538] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.0ms frames=6300 ball=0 base_poses=6281 invalid=0 station_ok=yes
[INFO] [1787148802.963237430] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.0ms frames=6600 ball=0 base_poses=6581 invalid=0 station_ok=yes
[INFO] [1787148803.963476325] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.0ms frames=6900 ball=0 base_poses=6881 invalid=0 station_ok=yes
[INFO] [1787148804.963399947] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=7200 ball=0 base_poses=7181 invalid=0 station_ok=yes
[INFO] [1787148805.963364621] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=7500 ball=0 base_poses=7481 invalid=0 station_ok=yes
[INFO] [1787148806.963369284] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=7800 ball=0 base_poses=7781 invalid=0 station_ok=yes
[INFO] [1787148807.963251775] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.3ms frames=8100 ball=0 base_poses=8081 invalid=0 station_ok=yes
[INFO] [1787148808.963424118] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.4ms frames=8400 ball=0 base_poses=8381 invalid=0 station_ok=yes
