[WARN] [1787108852.701882452] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1787108852.702745707] [a3_receive_input_gateway]: ball tracking: lost
[WARN] [1787108852.757293750] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1787108853.694925834] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=302 ball=0 base_poses=283 invalid=0 station_ok=no
[INFO] [1787108854.694557124] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=602 ball=0 base_poses=583 invalid=0 station_ok=no
[INFO] [1787108855.694781293] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=901 ball=0 base_poses=882 invalid=0 station_ok=no
[INFO] [1787108856.694939320] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1202 ball=0 base_poses=1183 invalid=0 station_ok=no
[INFO] [1787108857.694480238] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=1502 ball=0 base_poses=1483 invalid=0 station_ok=no
[INFO] [1787108858.694382860] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1802 ball=0 base_poses=1783 invalid=0 station_ok=no
[INFO] [1787108859.694446049] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.3ms frames=2101 ball=0 base_poses=2082 invalid=0 station_ok=no
[INFO] [1787108860.694370766] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.3ms frames=2401 ball=0 base_poses=2382 invalid=0 station_ok=no
[INFO] [1787108861.694392998] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=2702 ball=0 base_poses=2683 invalid=0 station_ok=no
[INFO] [1787108862.694506110] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.4ms frames=3001 ball=0 base_poses=2982 invalid=0 station_ok=no
[INFO] [1787108863.694566110] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=3301 ball=0 base_poses=3282 invalid=0 station_ok=no
[INFO] [1787108864.694516296] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=3601 ball=0 base_poses=3582 invalid=0 station_ok=no
[INFO] [1787108865.694456006] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=3902 ball=0 base_poses=3883 invalid=0 station_ok=no
[INFO] [1787108866.694516018] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=4201 ball=0 base_poses=4182 invalid=0 station_ok=no
[INFO] [1787108867.694463555] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=4501 ball=0 base_poses=4482 invalid=0 station_ok=no
[INFO] [1787108868.694527926] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=4801 ball=0 base_poses=4782 invalid=0 station_ok=no
[INFO] [1787108869.694503787] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=5101 ball=0 base_poses=5082 invalid=0 station_ok=no
[INFO] [1787108870.694414558] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=5401 ball=0 base_poses=5382 invalid=0 station_ok=no
[INFO] [1787108871.694394180] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=5701 ball=0 base_poses=5682 invalid=0 station_ok=no
[INFO] [1787108872.694513694] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=6001 ball=0 base_poses=5982 invalid=0 station_ok=no
[INFO] [1787108873.694415480] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.9ms frames=6301 ball=0 base_poses=6282 invalid=0 station_ok=no
[INFO] [1787108874.694498187] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.9ms frames=6601 ball=0 base_poses=6582 invalid=0 station_ok=no
[INFO] [1787108875.694518254] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.0ms frames=6901 ball=0 base_poses=6882 invalid=0 station_ok=no
[INFO] [1787108876.694499451] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.0ms frames=7201 ball=0 base_poses=7182 invalid=0 station_ok=no
[INFO] [1787108877.694402227] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.0ms frames=7501 ball=0 base_poses=7482 invalid=0 station_ok=no
[INFO] [1787108878.694432854] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.2ms frames=7801 ball=0 base_poses=7782 invalid=0 station_ok=no
[INFO] [1787108879.694417172] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.2ms frames=8101 ball=0 base_poses=8082 invalid=0 station_ok=no
[INFO] [1787108880.694465896] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.2ms frames=8401 ball=0 base_poses=8382 invalid=0 station_ok=no
