[WARN] [1786989323.938992486] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1786989323.939869510] [a3_receive_input_gateway]: ball tracking: visible
[WARN] [1786989323.990145144] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1786989324.932078337] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.3ms frames=359 ball=340 base_poses=340 invalid=0 station_ok=no
[INFO] [1786989325.931420296] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=720 ball=701 base_poses=701 invalid=0 station_ok=no
[INFO] [1786989326.931369659] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1080 ball=1061 base_poses=1061 invalid=0 station_ok=no
[INFO] [1786989327.931422170] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=1440 ball=1421 base_poses=1421 invalid=0 station_ok=no
[INFO] [1786989328.931632367] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=1800 ball=1781 base_poses=1781 invalid=0 station_ok=no
[INFO] [1786989329.931429917] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=2160 ball=2141 base_poses=2141 invalid=0 station_ok=no
[INFO] [1786989330.931415237] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=2520 ball=2501 base_poses=2501 invalid=0 station_ok=no
[INFO] [1786989331.931483032] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=2879 ball=2860 base_poses=2860 invalid=0 station_ok=no
[INFO] [1786989332.931411787] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=3240 ball=3221 base_poses=3221 invalid=0 station_ok=no
[INFO] [1786989333.931457132] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=3599 ball=3580 base_poses=3580 invalid=0 station_ok=no
[INFO] [1786989334.931487866] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=3959 ball=3940 base_poses=3940 invalid=0 station_ok=no
[INFO] [1786989335.931466596] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=4319 ball=4300 base_poses=4300 invalid=0 station_ok=no
[INFO] [1786989336.931458954] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=4679 ball=4660 base_poses=4660 invalid=0 station_ok=no
[INFO] [1786989337.931504656] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=5039 ball=5020 base_poses=5020 invalid=0 station_ok=no
[INFO] [1786989338.931476418] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=5399 ball=5380 base_poses=5380 invalid=0 station_ok=no
[INFO] [1786989339.931503795] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=5759 ball=5740 base_poses=5740 invalid=0 station_ok=no
[INFO] [1786989340.931449642] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=6119 ball=6100 base_poses=6100 invalid=0 station_ok=no
[INFO] [1786989341.931465420] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=6479 ball=6460 base_poses=6460 invalid=0 station_ok=no
[INFO] [1786989342.931479072] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.4ms frames=6839 ball=6820 base_poses=6820 invalid=0 station_ok=no
[INFO] [1786989343.931399767] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.9ms frames=7199 ball=7180 base_poses=7180 invalid=0 station_ok=no
