[WARN] [1786955073.793145080] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1786955073.797064729] [a3_receive_input_gateway]: ball tracking: visible
[WARN] [1786955073.841689178] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1786955074.779330566] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=360 ball=341 base_poses=341 invalid=0 station_ok=no
[INFO] [1786955075.779434902] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=720 ball=701 base_poses=701 invalid=0 station_ok=no
[INFO] [1786955076.779629501] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=1080 ball=1061 base_poses=1061 invalid=0 station_ok=no
[INFO] [1786955077.779413726] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=1440 ball=1421 base_poses=1421 invalid=0 station_ok=no
[INFO] [1786955078.779330336] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1800 ball=1781 base_poses=1781 invalid=0 station_ok=no
[INFO] [1786955079.779605517] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=2160 ball=2141 base_poses=2141 invalid=0 station_ok=no
[INFO] [1786955080.779359241] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=2520 ball=2501 base_poses=2501 invalid=0 station_ok=no
[INFO] [1786955081.779323079] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=2880 ball=2861 base_poses=2861 invalid=0 station_ok=no
[INFO] [1786955082.779348913] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=3240 ball=3221 base_poses=3221 invalid=0 station_ok=no
[INFO] [1786955083.779348249] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=3600 ball=3581 base_poses=3581 invalid=0 station_ok=no
[INFO] [1786955084.779371339] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=3960 ball=3941 base_poses=3941 invalid=0 station_ok=no
[INFO] [1786955085.779322871] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=4320 ball=4301 base_poses=4301 invalid=0 station_ok=no
[INFO] [1786955086.779282612] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=4680 ball=4661 base_poses=4661 invalid=0 station_ok=no
[INFO] [1786955087.779359386] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=5040 ball=5021 base_poses=5021 invalid=0 station_ok=no
[INFO] [1786955088.779345153] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=5400 ball=5381 base_poses=5381 invalid=0 station_ok=no
[INFO] [1786955089.779378169] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=5760 ball=5741 base_poses=5741 invalid=0 station_ok=no
[INFO] [1786955090.779334450] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=6120 ball=6101 base_poses=6101 invalid=0 station_ok=no
[INFO] [1786955091.779431085] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=6480 ball=6461 base_poses=6461 invalid=0 station_ok=no
[INFO] [1786955092.779343257] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=6840 ball=6821 base_poses=6821 invalid=0 station_ok=no
[INFO] [1786955093.779332573] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=7200 ball=7181 base_poses=7181 invalid=0 station_ok=no
[INFO] [1786955094.779335817] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=7560 ball=7541 base_poses=7541 invalid=0 station_ok=no
[INFO] [1786955095.779334733] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=7920 ball=7901 base_poses=7901 invalid=0 station_ok=no
[INFO] [1786955096.779541910] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=8280 ball=8261 base_poses=8261 invalid=0 station_ok=no
[INFO] [1786955097.779344041] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=8640 ball=8621 base_poses=8621 invalid=0 station_ok=no
[INFO] [1786955098.779328075] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=9000 ball=8981 base_poses=8981 invalid=0 station_ok=no
[INFO] [1786955099.779325673] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=9360 ball=9341 base_poses=9341 invalid=0 station_ok=no
[INFO] [1786955100.779459633] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=9720 ball=9701 base_poses=9701 invalid=0 station_ok=no
[INFO] [1786955101.779330963] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=10080 ball=10061 base_poses=10061 invalid=0 station_ok=no
[INFO] [1786955102.779324110] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=10440 ball=10421 base_poses=10421 invalid=0 station_ok=no
[INFO] [1786955103.779386583] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=10800 ball=10781 base_poses=10781 invalid=0 station_ok=no
[INFO] [1786955104.779322274] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=11160 ball=11141 base_poses=11141 invalid=0 station_ok=no
[INFO] [1786955105.779325905] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=11520 ball=11501 base_poses=11501 invalid=0 station_ok=no
[INFO] [1786955106.779325095] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=11880 ball=11861 base_poses=11861 invalid=0 station_ok=no
[INFO] [1786955107.779332874] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=12240 ball=12221 base_poses=12221 invalid=0 station_ok=no
[INFO] [1786955108.779388934] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=12600 ball=12581 base_poses=12581 invalid=0 station_ok=no
[INFO] [1786955109.779403633] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=12959 ball=12940 base_poses=12940 invalid=0 station_ok=no
[INFO] [1786955110.779367879] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=13320 ball=13301 base_poses=13301 invalid=0 station_ok=no
[INFO] [1786955111.779327962] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=13680 ball=13661 base_poses=13661 invalid=0 station_ok=no
[INFO] [1786955112.779536975] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=14039 ball=14020 base_poses=14020 invalid=0 station_ok=no
[INFO] [1786955113.779346649] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=14400 ball=14381 base_poses=14381 invalid=0 station_ok=no
[INFO] [1786955114.779340488] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=14759 ball=14740 base_poses=14740 invalid=0 station_ok=no
[INFO] [1786955115.779485271] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=15119 ball=15100 base_poses=15100 invalid=0 station_ok=no
[INFO] [1786955116.779384514] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=15479 ball=15460 base_poses=15460 invalid=0 station_ok=no
[INFO] [1786955117.779436774] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.4ms frames=15839 ball=15820 base_poses=15820 invalid=0 station_ok=no
[INFO] [1786955118.779396445] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=16199 ball=16180 base_poses=16180 invalid=0 station_ok=no
[INFO] [1786955119.779520514] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=16559 ball=16540 base_poses=16540 invalid=0 station_ok=no
[INFO] [1786955120.779409268] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=16919 ball=16900 base_poses=16900 invalid=0 station_ok=no
[INFO] [1786955121.779481763] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=17279 ball=17260 base_poses=17260 invalid=0 station_ok=no
[INFO] [1786955122.779406107] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=17639 ball=17620 base_poses=17620 invalid=0 station_ok=no
[INFO] [1786955123.779512422] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.9ms frames=17999 ball=17980 base_poses=17980 invalid=0 station_ok=no
[INFO] [1786955124.779669642] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=18359 ball=18340 base_poses=18340 invalid=0 station_ok=no
[INFO] [1786955125.779437641] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.9ms frames=18719 ball=18700 base_poses=18700 invalid=0 station_ok=no
[INFO] [1786955126.779520325] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=19079 ball=19060 base_poses=19060 invalid=0 station_ok=no
[INFO] [1786955127.779552246] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=19439 ball=19420 base_poses=19420 invalid=0 station_ok=no
[INFO] [1786955128.779455676] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=19799 ball=19780 base_poses=19780 invalid=0 station_ok=no
[INFO] [1786955129.779356206] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.7ms frames=20159 ball=20140 base_poses=20140 invalid=0 station_ok=no
[INFO] [1786955130.779925724] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=5.0ms frames=20518 ball=20499 base_poses=20499 invalid=0 station_ok=no
[INFO] [1786955131.779486594] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=20879 ball=20860 base_poses=20860 invalid=0 station_ok=no
[INFO] [1786955132.779334521] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.7ms frames=21239 ball=21220 base_poses=21220 invalid=0 station_ok=no
