[WARN] [1787149684.112874446] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1787149684.113535519] [a3_receive_input_gateway]: ball tracking: lost
[WARN] [1787149684.178854494] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1787149685.105574024] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=3.6ms frames=299 ball=0 base_poses=280 invalid=0 station_ok=no
[INFO] [1787149686.105717443] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.4ms frames=599 ball=0 base_poses=580 invalid=0 station_ok=no
[INFO] [1787149687.105535728] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.1ms frames=899 ball=0 base_poses=880 invalid=0 station_ok=no
[INFO] [1787149688.105518102] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1199 ball=0 base_poses=1180 invalid=0 station_ok=no
[INFO] [1787149689.105537186] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=1498 ball=0 base_poses=1479 invalid=0 station_ok=no
[INFO] [1787149690.105781581] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=1798 ball=0 base_poses=1779 invalid=0 station_ok=no
[INFO] [1787149691.105698618] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.6ms frames=2097 ball=0 base_poses=2078 invalid=0 station_ok=no
[INFO] [1787149692.105568795] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.6ms frames=2397 ball=0 base_poses=2378 invalid=0 station_ok=no
[INFO] [1787149693.105523445] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=2697 ball=0 base_poses=2678 invalid=0 station_ok=no
[INFO] [1787149694.105562937] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.3ms frames=2996 ball=0 base_poses=2977 invalid=0 station_ok=no
