[WARN] [1786982480.945522075] [a3_receive_input_gateway]: receive gateway started: mocap=/ppmocap/frame planner_input=/a3_mocap/ball_poses base_pose=/a3_mocap/pelvis_pose; inference=off joint_commands=off
[INFO] [1786982480.946533258] [a3_receive_input_gateway]: ball tracking: lost
[WARN] [1786982480.965282482] [a3_receive_input_gateway]: PPMocap calibrated: origin=near-left tabletop, +X=robot-to-opponent, +Y=robot-left, +Z=up
[INFO] [1786982481.930890357] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=385 ball=0 base_poses=366 invalid=0 station_ok=no
[INFO] [1786982482.930992008] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=1098 ball=0 base_poses=1079 invalid=0 station_ok=no
[INFO] [1786982483.930949103] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=1818 ball=0 base_poses=1799 invalid=0 station_ok=no
[INFO] [1786982484.930854697] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.0ms frames=2538 ball=0 base_poses=2519 invalid=0 station_ok=no
[INFO] [1786982485.930852694] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.9ms frames=3258 ball=0 base_poses=3239 invalid=0 station_ok=no
[INFO] [1786982486.931739000] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=3979 ball=0 base_poses=3960 invalid=0 station_ok=no
[INFO] [1786982487.930807743] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=4699 ball=0 base_poses=4680 invalid=0 station_ok=no
[INFO] [1786982488.930829886] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=5420 ball=0 base_poses=5401 invalid=0 station_ok=no
[INFO] [1786982489.930834779] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=6140 ball=0 base_poses=6121 invalid=0 station_ok=no
[INFO] [1786982490.930868299] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.1ms frames=6860 ball=0 base_poses=6841 invalid=0 station_ok=no
[INFO] [1786982491.930907018] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.6ms frames=7580 ball=0 base_poses=7561 invalid=0 station_ok=no
[INFO] [1786982492.930954429] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.6ms frames=8300 ball=0 base_poses=8281 invalid=0 station_ok=no
[INFO] [1786982493.930879203] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=9021 ball=0 base_poses=9002 invalid=0 station_ok=no
[INFO] [1786982494.930832164] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=9741 ball=0 base_poses=9722 invalid=0 station_ok=no
[INFO] [1786982495.930843601] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.1ms frames=10461 ball=0 base_poses=10442 invalid=0 station_ok=no
[INFO] [1786982496.930830047] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=11182 ball=0 base_poses=11163 invalid=0 station_ok=no
[INFO] [1786982497.930848007] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.5ms frames=11902 ball=0 base_poses=11883 invalid=0 station_ok=no
[INFO] [1786982498.930833112] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.7ms frames=12622 ball=0 base_poses=12603 invalid=0 station_ok=no
[INFO] [1786982499.931070261] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=13342 ball=0 base_poses=13323 invalid=0 station_ok=no
[INFO] [1786982500.931073134] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=14062 ball=0 base_poses=14043 invalid=0 station_ok=no
[INFO] [1786982501.930994247] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=14783 ball=0 base_poses=14764 invalid=0 station_ok=no
[INFO] [1786982502.930837505] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=15503 ball=0 base_poses=15484 invalid=0 station_ok=no
[INFO] [1786982503.930933289] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=16224 ball=0 base_poses=16205 invalid=0 station_ok=no
[INFO] [1786982504.930835891] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=16944 ball=0 base_poses=16925 invalid=0 station_ok=no
[INFO] [1786982505.930832486] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.6ms frames=17664 ball=0 base_poses=17645 invalid=0 station_ok=no
[INFO] [1786982506.930832846] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=18384 ball=0 base_poses=18365 invalid=0 station_ok=no
[INFO] [1786982507.930831907] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.0ms frames=19104 ball=0 base_poses=19085 invalid=0 station_ok=no
[INFO] [1786982508.930930636] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.3ms frames=19824 ball=0 base_poses=19805 invalid=0 station_ok=no
[INFO] [1786982509.930877466] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.7ms frames=20544 ball=0 base_poses=20525 invalid=0 station_ok=no
[INFO] [1786982510.930903854] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.2ms frames=21264 ball=0 base_poses=21245 invalid=0 station_ok=no
[INFO] [1786982511.930873232] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.5ms frames=21984 ball=0 base_poses=21965 invalid=0 station_ok=no
[INFO] [1786982512.930905441] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=2.8ms frames=22704 ball=0 base_poses=22685 invalid=0 station_ok=no
[INFO] [1786982513.930875832] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.6ms frames=23424 ball=0 base_poses=23405 invalid=0 station_ok=no
[INFO] [1786982514.931030437] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=24145 ball=0 base_poses=24126 invalid=0 station_ok=no
[INFO] [1786982515.930972451] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=24865 ball=0 base_poses=24846 invalid=0 station_ok=no
[INFO] [1786982516.930841108] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=25585 ball=0 base_poses=25566 invalid=0 station_ok=no
[INFO] [1786982517.931058018] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=26306 ball=0 base_poses=26287 invalid=0 station_ok=no
[INFO] [1786982518.930830024] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.3ms frames=27026 ball=0 base_poses=27007 invalid=0 station_ok=no
[INFO] [1786982519.930892820] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.4ms frames=27746 ball=0 base_poses=27727 invalid=0 station_ok=no
[INFO] [1786982520.931172696] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=28466 ball=0 base_poses=28447 invalid=0 station_ok=no
[INFO] [1786982521.930913653] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.8ms frames=29186 ball=0 base_poses=29167 invalid=0 station_ok=no
[INFO] [1786982522.930934037] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=1.2ms frames=29906 ball=0 base_poses=29887 invalid=0 station_ok=no
[INFO] [1786982523.931076830] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=30627 ball=0 base_poses=30608 invalid=0 station_ok=no
[INFO] [1786982524.930821013] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.2ms frames=31347 ball=0 base_poses=31328 invalid=0 station_ok=no
[INFO] [1786982525.931086479] [a3_receive_input_gateway]: gateway calibrated=yes frame_age=0.1ms frames=32068 ball=0 base_poses=32049 invalid=0 station_ok=no
