time_s,phase,right_shoulder_pitch_joint_q_rad,right_shoulder_roll_joint_q_rad,right_shoulder_yaw_joint_q_rad,right_elbow_joint_q_rad,right_wrist_roll_joint_q_rad,right_wrist_pitch_joint_q_rad,right_wrist_yaw_joint_q_rad,right_shoulder_pitch_joint_qd_rad_s,right_shoulder_roll_joint_qd_rad_s,right_shoulder_yaw_joint_qd_rad_s,right_elbow_joint_qd_rad_s,right_wrist_roll_joint_qd_rad_s,right_wrist_pitch_joint_qd_rad_s,right_wrist_yaw_joint_qd_rad_s,right_shoulder_pitch_joint_qdd_rad_s2,right_shoulder_roll_joint_qdd_rad_s2,right_shoulder_yaw_joint_qdd_rad_s2,right_elbow_joint_qdd_rad_s2,right_wrist_roll_joint_qdd_rad_s2,right_wrist_pitch_joint_qdd_rad_s2,right_wrist_yaw_joint_qdd_rad_s2
0.0,STROKE,-0.33,-0.55,0.71,-0.07,-0.2,-0.22,0.73,0.0,-2.1316282072803006e-14,0.0,8.881784197001252e-16,0.0,0.0,0.0,4.208843022359687,1.6698465898776327,5.506747877690454,-1.448951799499626,-6.500235534744048,-4.508215946611993,-1.5395352263225526
0.005,STROKE,-0.33,-0.55,0.71,-0.07,-0.2,-0.22,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.208843022359687,-1.6698465898691062,-5.506747877690454,1.4489517994992707,6.500235534744047,4.508215946611993,1.5395352263225526
0.01,STROKE,-0.33,-0.55,0.71,-0.07,-0.2,-0.22,0.73,-0.04208843022359687,-0.016698465898712378,-0.055067478776904544,0.014489517994993595,0.06500235534744048,0.04508215946611993,0.015395352263225526,-4.8993616182291255,-3.309616253669434,-10.917667108755191,-0.16815708288306364,10.98785044411632,11.615951767598443,0.4303021215956715
0.015,STROKE,-0.330420884302236,-0.5501669846589872,0.7094493252122309,-0.06985510482005007,-0.1993499764465256,-0.2195491784053388,0.7301539535226322,-0.048993616182291255,-0.03309616253669434,-0.10917667108755191,-0.0016815708288306364,0.1098785044411632,0.11615951767598443,0.004303021215956715,5.079315671777662,-2.3745737698099845,-7.6494389165926435,-7.785275942183422,2.768814949850873,14.670574515948942,-6.29129944829665
0.02,STROKE,-0.33048993616182293,-0.550330961625367,0.7089082332891244,-0.07001681570828831,-0.19890121495558838,-0.21883840482324016,0.7300430302121595,0.008704726494179749,-0.04044420359681222,-0.13156186794283098,-0.06336324142684063,0.0926905048459492,0.19178790462560935,-0.047517642219740974,10.8838979553455,-2.3579031311671272,-7.179218868016424,-13.180071174643121,-1.2546312361844114,18.522920706752487,-10.752465823135049
0.025,STROKE,-0.3303338370372942,-0.5505714266949553,0.7081337065328026,-0.07048873723431848,-0.19842307139806611,-0.2176312993590827,0.7296787771004348,0.05984536337116375,-0.05667519384836561,-0.18096885976771615,-0.13348228257526185,0.09733219207931909,0.3013887247435093,-0.10322163701539377,11.426354261879212,-3.3964804686792416,-10.353824295187275,-15.545963381853046,0.5899355058269773,23.791222935986845,-12.162035635793211
0.03,STROKE,-0.3298914825281113,-0.5508977135638506,0.7070985446914473,-0.07135163853404093,-0.1979278930347952,-0.21582451757580506,0.7290108138420056,0.12296826911297187,-0.07440900828360464,-0.23510011089470373,-0.21882287524537108,0.09858985990421898,0.4297001339854778,-0.1691379985776731,13.667296123250349,-3.626985071375488,-11.173875662502386,-18.34956178349112,-0.14025407685580582,27.168313081948337,-14.10587091211557
0.035,STROKE,-0.32910415434616447,-0.5513155167777913,0.7057827054238556,-0.07267696598677219,-0.19743717279902392,-0.21333429801922793,0.7279873971146581,0.19651832460366725,-0.0929450445621205,-0.29270761639274,-0.31697790041017304,0.09592965131076103,0.5730718555629927,-0.24428034613654948,15.486296631805896,-3.7172593915490992,-11.764875108629669,-20.614089683635704,-0.8412221263523478,29.847685622866603,-15.72261610178649
0.04,STROKE,-0.3279262992820746,-0.5518271640094718,0.7041714685275199,-0.07452141753814266,-0.19696859652168758,-0.21009379902017514,0.7265680103806401,0.27783123543103083,-0.11158160219909563,-0.3527488619810004,-0.42496377208172814,0.0901776386406955,0.7281769902141438,-0.326364159595538,16.775647686925744,-3.663955121413487,-12.152075184533873,-22.283994016875642,-1.3728252957440068,31.875371274961704,-16.884115558336575
0.045,STROKE,-0.32632584199185416,-0.5524313327997823,0.7022552168040456,-0.07692660370758947,-0.19653539641261697,-0.2060525281170865,0.7247237555187027,0.3642748014729247,-0.12958459577625536,-0.41422836823807874,-0.5398178405789295,0.08220139835332096,0.8918255683126097,-0.41312150171991524,17.55210613353264,-3.464576339687886,-12.345531394490905,-23.374339455765885,-1.7363128171440922,33.28191683157428,-17.603869740193677
0.05,STROKE,-0.32428355126734537,-0.5531230099672344,0.7000291848451391,-0.07991959594393196,-0.19614658253815437,-0.20117554333704904,0.722436795363441,0.45335229676635724,-0.1462273655959745,-0.47620417592590947,-0.658707166639387,0.07281451046925458,1.0609961585298866,-0.5024028569974748,17.843681582255797,-3.1235061378431794,-12.356557395220014,-23.913796225121242,-1.9433161559906376,34.10198861698714,-17.906345035844094
0.055,STROKE,-0.3217923190241906,-0.553893606455742,0.6974931750447865,-0.08351367537398334,-0.19580725130792442,-0.19544256653178763,0.719699726948728,0.5427116172954827,-0.16081965715468716,-0.5377939421902789,-0.7789558028301419,0.06276823679341459,1.2328454544824812,-0.5921849520783562,17.679327977410118,-2.6506213035648596,-12.197622879256409,-23.93496136457993,-2.006319565749648,34.371183451442896,-17.816960018841588
