Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
11,0.263637304306,1.21368408203,106.8919448852539,-0.004597355074602142,-7.076024755559805,-85.00822982407433,-0.85333455,-0.38065913,11.18697,4.152564,-21.103369,-2.0500004,9.984768,-22.366953,65.05797,8.507787,7.831291,6.0436263,-5.6012964,-8.971532,18.86037,65.023994,-20.507751,8.038233,-4.3976746,6.750216,-2.939957,-2.102288,5.5565205,-6.3877325,1.3327628,8.070427,1.416652,-12.504644,5.660417,-7.4629016,-1.3864281
12,0.290909528732,1.35485839844,106.9000015258789,-0.0008600838451500124,-6.976891418584616,-84.96494345994712,-0.9278623,-0.41091335,11.236907,4.086866,-21.410292,-2.1838953,10.075026,-22.411213,65.05367,8.503925,7.829647,6.017233,-5.705509,-8.935866,18.82537,64.91671,-20.510918,8.036114,-4.4242425,6.524329,-2.9682887,-2.1930127,5.554761,-6.2593894,1.3602446,7.8464375,1.3732142,-12.48941,5.676152,-7.3559365,-1.3786634
13,0.327251195908,1.48709106445,106.9100112915039,0.004888519034994114,-6.847685273425454,-84.97183075646699,-0.95485634,-0.4483862,11.283816,4.0153275,-21.737206,-2.3148565,10.196129,-22.471998,64.98656,8.5052395,7.8460736,5.9932976,-5.8218794,-8.8886595,18.797295,64.79167,-20.515787,8.017675,-4.46815,6.2692966,-3.0022473,-2.242671,5.5563293,-6.1373496,1.3900613,7.5611215,1.3155899,-12.410105,5.7384195,-7.2625313,-1.3684663
14,0.361253738403,1.63423156738,106.92032623291016,0.012697767210902452,-6.693752718176695,-85.0170673134296,-0.94818336,-0.47905856,11.321913,3.9385567,-22.073353,-2.4647777,10.302656,-22.524029,64.924385,8.542488,7.8489027,5.975575,-5.9407945,-8.8479,18.7875,64.63943,-20.50965,7.9928465,-4.5251727,5.977406,-3.0358632,-2.2645528,5.5582027,-6.0057907,1.4159447,7.109358,1.2282422,-12.252928,6.038412,-7.266192,-1.3619926
15,0.385326623917,1.85565185547,106.93061065673828,0.020676631870932483,-6.5194968201558,-85.0839173791045,-0.91915315,-0.5022617,11.341853,3.849269,-22.406605,-2.6336105,10.3887005,-22.565393,64.88327,8.590953,7.8431406,5.959966,-6.0523906,-8.816133,18.788603,64.47138,-20.49214,7.9672837,-4.57556,5.6182785,-3.0644135,-2.279965,5.556102,-5.8267045,1.4339448,6.531599,1.1316866,-12.042401,6.437072,-7.266701,-1.3658694
16,0.421498537064,2.02154541016,106.93937683105469,0.02255960960698899,-6.330123426602981,-85.15431056875293,-0.8854594,-0.52709895,11.340745,3.747193,-22.727983,-2.790256,10.489813,-22.603966,64.814964,8.601312,7.85195,5.9348197,-6.1574197,-8.7779,18.796236,64.30848,-20.465834,7.9414487,-4.6012626,5.274714,-3.0903192,-2.2875943,5.5553875,-5.6808853,1.4554485,6.0085955,1.0497944,-11.83801,6.7582035,-7.258694,-1.3588208
17,0.458027839661,2.16801452637,106.94541931152344,0.01035394985592796,-6.129272226190729,-85.21786325565371,-0.8539809,-0.5415356,11.312492,3.6264353,-23.023834,-2.9458258,10.58372,-22.627747,64.75177,8.574674,7.870197,5.89435,-6.244801,-8.740838,18.810307,64.146416,-20.413883,7.9171305,-4.587381,4.9287753,-3.0979555,-2.2992992,5.556783,-5.5483785,1.4709495,5.514226,0.9951502,-11.641002,7.017934,-7.2316384,-1.3498949
18,0.49614071846,2.33418273926,106.95158386230469,-0.012785824853104453,-5.914974389998572,-85.285351894636,-0.8171911,-0.549504,11.263918,3.4917533,-23.305552,-3.0977478,10.679782,-22.642502,64.678444,8.521654,7.8971443,5.8429656,-6.3228126,-8.701628,18.831976,63.98345,-20.34405,7.890936,-4.5478063,4.5548687,-3.093063,-2.311303,5.5578723,-5.4034247,1.4824477,5.0108876,0.958066,-11.433589,7.2344465,-7.1679254,-1.3413634
19,0.526970624924,2.51481628418,106.9571533203125,-0.0327691793052198,-5.6833785876424905,-85.37264049583854,-0.76532197,-0.5627545,11.201166,3.3521695,-23.589102,-3.24839,10.776891,-22.64283,64.595314,8.468368,7.925717,5.796454,-6.4055953,-8.659384,18.86604,63.826572,-20.283237,7.86634,-4.5048876,4.153349,-3.0866857,-2.3119836,5.5552425,-5.2469573,1.4889398,4.4527535,0.9189084,-11.195064,7.489796,-7.107298,-1.3384321
20,0.557221889496,2.71759033203,106.95890045166016,-0.03892383960101289,-5.43082608703597,-85.49482343932372,-0.68818474,-0.5902667,11.129605,3.2149284,-23.890413,-3.4053416,10.86798,-22.62271,64.5131,8.443906,7.945903,5.771467,-6.505131,-8.615509,18.916113,63.681484,-20.258091,7.8478255,-4.48105,3.7134216,-3.0965831,-2.2921438,5.5543356,-5.0772476,1.4989406,3.7807758,0.8507427,-10.901331,7.8815565,-7.090392,-1.337524
21,0.59147644043,2.89863586426,106.96012878417969,-0.03249733610020403,-5.15060530070638,-85.65882098861645,-0.5813239,-0.6312032,11.044418,3.0830917,-24.212252,-3.5592432,10.958833,-22.578123,64.41907,8.467267,7.9613605,5.780144,-6.6267533,-8.56531,18.993296,63.55656,-20.286757,7.8354073,-4.492379,3.2558968,-3.1221104,-2.242189,5.5529027,-4.918883,1.5151416,3.053654,0.7645737,-10.563158,8.326176,-7.097961,-1.3362916
22,0.620709657669,3.10108947754,106.95510864257812,-0.019541282929679833,-4.847846994688577,-85.85503508038033,-0.4517188,-0.6793051,10.944957,2.9525294,-24.54559,-3.7132914,11.045124,-22.509865,64.32163,8.523382,7.972654,5.8119884,-6.7639017,-8.510947,19.09386,63.44839,-20.350365,7.8275075,-4.5240083,2.759356,-3.1519115,-2.1735668,5.5499997,-4.7451215,1.5302938,2.2269924,0.66798574,-10.175229,8.874314,-7.134359,-1.341467
23,0.650968074799,3.30250549316,106.95060729980469,0.003719632728439887,-4.535749043398511,-86.07525908736652,-0.31153738,-0.74554795,10.846932,2.8280346,-24.892664,-3.8699253,11.13096,-22.41844,64.217,8.577351,7.977715,5.8450685,-6.9220037,-8.449449,19.20778,63.354843,-20.419914,7.82225,-4.553604,2.2526524,-3.1940036,-2.0853655,5.548591,-4.5737686,1.5476311,1.3784151,0.5644428,-9.757868,9.432157,-7.1680593,-1.3450928
24,0.666217327118,3.53147888184,106.93602752685547,0.045742320035024896,-4.228019923098513,-86.31155271256212,-0.1737629,-0.84211737,10.739216,2.7322757,-24.999998,-4.0261574,11.220236,-22.30982,64.120026,8.590259,7.9749823,5.851221,-7.1048827,-8.374115,19.32795,63.299896,-20.46607,7.8152785,-4.5550423,1.7354803,-3.2497833,-1.9827223,5.5443177,-4.386703,1.5585344,0.4342621,0.44183284,-9.294034,10.140956,-7.255995,-1.3535818
25,0.669786453247,3.77574157715,106.91666412353516,0.10871664622847667,-3.917147143032065,-86.56826344862948,-0.03538985,-0.97358835,10.63097,2.6618733,-24.999998,-4.1825905,11.317244,-22.172506,64.013954,8.541329,7.9637833,5.827922,-7.3190193,-8.279779,19.442562,63.279133,-20.478682,7.8016148,-4.5188336,1.2043616,-3.3228865,-1.8619682,5.540111,-4.191198,1.563129,-0.56563365,0.30608574,-8.785177,10.920383,-7.3634496,-1.3647736
26,0.680798053741,4.01873779297,106.89273834228516,0.1862939695767129,-3.599949452454037,-86.84756577832488,0.10759661,-1.1342098,10.529424,2.60681,-24.999998,-4.336859,11.424103,-22.005524,63.886826,8.454119,7.947821,5.788733,-7.565624,-8.166311,19.554964,63.287525,-20.479536,7.7829556,-4.461215,0.667441,-3.41718,-1.7196368,5.5365615,-3.998416,1.573175,-1.6030443,0.15686524,-8.236279,11.747894,-7.487811,-1.3679284
27,0.678625583649,4.27513122559,106.86104583740234,0.27626071956392995,-3.295061395552976,-87.13745149784563,0.2456436,-1.3190614,10.450356,2.5581863,-24.999998,-4.490516,11.542537,-21.830162,63.742176,8.35698,7.9312263,5.7371144,-7.8396993,-8.034891,19.677505,63.31751,-20.485565,7.7673674,-4.3998795,0.13930383,-3.5180159,-1.5629317,5.5303097,-3.7998812,1.5792986,-2.654856,0.010163323,-7.6702228,12.611268,-7.625106,-1.3741918
28,0.677473306656,4.55673217773,106.82332611083984,0.37308121024586316,-3.0199204322370807,-87.42617235557526,0.3705265,-1.522855,10.407935,2.5055158,-24.999998,-4.646318,11.673736,-21.6723,63.584988,8.275131,7.9176955,5.677105,-8.134561,-7.8879137,19.82183,63.360016,-20.512684,7.762981,-4.352438,-0.3696761,-3.6290193,-1.399201,5.5266,-3.592359,1.5933822,-3.6866379,-0.1355663,-7.1112833,13.469657,-7.7513804,-1.3741667
29,0.656035900116,4.82038879395,106.78223419189453,0.4809522110637082,-2.7776335372231244,-87.7150075538368,0.48793444,-1.7486087,10.409204,2.440073,-24.999998,-4.808855,11.818931,-21.531643,63.410873,8.21057,7.9105086,5.6075215,-8.449962,-7.725233,19.978497,63.41016,-20.584875,7.77945,-4.318485,-0.8284001,-3.7399967,-1.2205993,5.5243516,-3.4023159,1.6048942,-4.657269,-0.27005678,-6.570707,14.304872,-7.8852096,-1.3787161
30,0.631129026413,5.11259460449,106.73245239257812,0.6016412047177898,-2.5577493688222592,-88.00889370562322,0.60197383,-1.9975533,10.444556,2.367329,-24.999998,-4.977035,11.978294,-21.40186,63.218395,8.147886,7.907739,5.526827,-8.786336,-7.5459585,20.143084,63.470978,-20.686872,7.8100257,-4.2895803,-1.3207924,-3.8652394,-1.0391021,5.6099544,-3.2444901,1.6229347,-5.64516,-0.40984693,-6.0196614,15.18137,-8.023746,-1.3805877
31,0.610780239105,5.41307067871,106.68701171875,0.7294881060969278,-2.358245927333515,-88.30134763796038,0.7007415,-2.2620842,10.503671,2.2995894,-24.999998,-5.144874,12.150749,-21.300611,63.018646,8.085421,7.9045057,5.4391966,-9.139272,-7.3540807,20.336884,63.545578,-20.774338,7.83887,-4.271546,-1.8971087,-4.0023837,-0.87145615,5.898012,-3.1860316,1.646284,-6.5487413,-0.54623616,-5.490631,15.946553,-8.117421,-1.3713342
32,0.601079463959,5.71365356445,106.63292694091797,0.8582176931614317,-2.176572303187443,-88.58592130936742,0.7731812,-2.5344553,10.575898,2.2481525,-24.999998,-5.307771,12.334691,-21.248104,62.82414,8.019099,7.8951554,5.3496737,-9.502009,-7.1571293,20.584345,63.632137,-20.79828,7.8514667,-4.27006,-2.5291095,-4.14691,-0.7192606,6.3373966,-3.2060337,1.6733404,-7.475114,-0.6858662,-4.9612727,16.769835,-8.237563,-1.3479437
33,0.593242168427,6.01193237305,106.58335876464844,0.9918354758806787,-2.00853169223332,-88.86644908339093,0.82215464,-2.8226783,10.658143,2.2132807,-24.999998,-5.4645243,12.53198,-21.253523,62.630577,7.934026,7.8731174,5.253584,-9.867381,-6.9591565,20.899218,63.71354,-20.717728,7.846766,-4.291642,-3.0392923,-4.2944117,-0.54372543,6.575797,-3.1321974,1.6949849,-8.3078165,-0.81965387,-4.4563518,17.464678,-8.319605,-1.3078572
34,0.567317008972,6.30390930176,106.53627014160156,1.132770861387002,-1.8560987090886896,-89.14470927213027,0.85270745,-3.127209,10.756206,2.1889703,-24.999998,-5.617449,12.743218,-21.30817,62.43244,7.8338084,7.842987,5.1500707,-10.236743,-6.7611146,21.270805,63.78829,-20.561558,7.8332133,-4.3302846,-3.4706829,-4.436286,-0.35246035,6.703317,-3.0100265,1.7022436,-9.081483,-0.9414382,-3.9681232,18.089413,-8.38427,-1.2666516
35,0.541369915009,6.58721923828,106.49163818359375,1.26930875783889,-1.7282715312784822,-89.41135761421926,0.8585673,-3.4256346,10.874614,2.1751702,-24.999998,-5.7682714,12.962444,-21.405754,62.2425,7.744336,7.814517,5.0501356,-10.61187,-6.5656095,21.68323,63.872845,-20.386105,7.810665,-4.372056,-3.840725,-4.5714974,-0.16194959,6.7824693,-2.8730898,1.7096545,-9.753554,-1.0851903,-3.5178525,18.686335,-8.494878,-1.1839097
36,0.537312269211,6.87763977051,106.45146179199219,1.3878264248058056,-1.6328879638372538,-89.65689958684501,0.833996,-3.6946921,11.016786,2.1704104,-24.999998,-5.92323,13.17922,-21.541595,62.080658,7.6932726,7.7953253,4.9653473,-10.992793,-6.3764896,22.118223,63.981888,-20.248327,7.779398,-4.403182,-4.1512675,-4.699537,0.014057392,6.811636,-2.7075622,1.73407,-10.428952,-1.2266855,-3.0996442,19.408564,-8.697777,-1.0605282
37,0.54189157486,7.17027282715,106.41297912597656,1.4960431849435596,-1.5742097736231653,-89.88487421261885,0.78039384,-3.9341576,11.1915455,2.1708322,-24.999998,-6.0985255,13.3856325,-21.730448,61.96289,7.7035093,7.7820907,4.899344,-11.386358,-6.1969748,22.57893,64.11562,-20.161919,7.738587,-4.4230633,-4.4129066,-4.821767,0.17190894,6.8285036,-2.5347066,1.7729571,-10.954956,-1.3719954,-2.748124,20.094925,-8.9857025,-0.8743815
38,0.560612201691,7.455078125,106.37576293945312,1.5960525578629192,-1.546475212600143,-90.09809251995298,0.7036482,-4.153304,11.392375,2.1739397,-24.999998,-6.296896,13.5792,-21.974854,61.890873,7.757492,7.7681017,4.8476367,-11.784512,-6.0284376,23.066881,64.26068,-20.0977,7.6897902,-4.437133,-4.628572,-4.9438715,0.31717604,6.8364863,-2.362864,1.8261942,-11.443329,-1.5247346,-2.4382868,20.824852,-9.346374,-0.6200041
39,0.570953130722,7.73307800293,106.34373474121094,1.6765982146686753,-1.5444293297832672,-90.2860768510833,0.60440904,-4.3407516,11.599232,2.1802046,-24.999998,-6.502798,13.757389,-22.24875,61.8627,7.824427,7.756856,4.8094306,-12.164085,-5.8709903,23.561445,64.41008,-20.049692,7.6374035,-4.440907,-4.8078923,-5.037221,0.4441516,6.837208,-2.1922045,1.8701984,-11.881697,-1.6789647,-2.227099,21.614996,-9.801659,-0.26759923
40,0.594319105148,8.00256347656,106.32099914550781,1.725062857316502,-1.562493879229536,-90.4384755862042,0.48245323,-4.4852033,11.792301,2.190762,-24.999998,-6.6986284,13.917924,-22.52091,61.874905,7.877661,7.751758,4.783447,-12.504293,-5.723952,24.040024,64.55962,-20.014828,7.5854797,-4.4294486,-4.934256,-5.099976,0.55359787,6.7861595,-2.003165,1.9092444,-12.245249,-1.8352933,-2.2007327,22.473684,-10.357669,0.26373592
